Source,Target,Type,Id,Label,timeset,Weight,e_weight,e_crawldate
n29828,n29828,Directed,260505,,,588,65,20191020
n39636,n29828,Directed,260510,,,64,64,20191024
n10578,n29829,Directed,260511,,,20,20,20191020
n30825,n29829,Directed,260512,,,6,6,20191020
n35375,n29829,Directed,260513,,,690,6,20191031
n15755,n29830,Directed,260525,,,64,8,20191102
n3338,n29831,Directed,260533,,,48,12,20191102
n21235,n29832,Directed,260537,,,12,12,20191002
n29833,n29833,Directed,260538,,,455,65,20191024
n17290,n29834,Directed,260545,,,56,8,20191025
n1687,n29835,Directed,260552,,,67,8,20191024
n2670,n29835,Directed,260559,,,67,8,20191008
n3357,n29835,Directed,260566,,,158,6,20191111
n3362,n29835,Directed,260574,,,77,6,20191025
n3408,n29835,Directed,260582,,,68,8,20191012
n13451,n29835,Directed,260589,,,66,8,20191008
n14766,n29835,Directed,260596,,,65,8,20191008
n20186,n29835,Directed,260603,,,73,8,20191008
n20459,n29835,Directed,260610,,,68,8,20191020
n20987,n29835,Directed,260617,,,63,8,20191008
n23137,n29835,Directed,260624,,,62,8,20191024
n26737,n29835,Directed,260631,,,71,8,20191008
n27635,n29835,Directed,260638,,,64,8,20191008
n30181,n29835,Directed,260645,,,65,8,20191008
n31700,n29835,Directed,260652,,,64,8,20191030
n31794,n29835,Directed,260659,,,65,8,20191030
n38273,n29835,Directed,260666,,,64,8,20191008
n1943,n29836,Directed,260673,,,60,15,20191027
n31967,n29837,Directed,260676,,,448,64,20191008
n5176,n29838,Directed,260683,,,76,6,20191102
n12224,n29839,Directed,260689,,,15,15,20191102
n29839,n29839,Directed,260690,,,976,48,20191001
n21046,n29840,Directed,260698,,,80,10,20191008
n26539,n29841,Directed,260706,,,58,6,20191020
n29842,n29842,Directed,260711,,,82,8,20191102
n29843,n29843,Directed,260719,,,1620,74,20191101
n29844,n29844,Directed,260728,,,2745,391,20191012
n29845,n29845,Directed,260735,,,312,52,20191024
n6571,n29846,Directed,260741,,,63,9,20191020
n29847,n29847,Directed,260748,,,228,14,20191111
n3357,n29848,Directed,260751,,,694,54,20191102
n1943,n29849,Directed,260759,,,7,7,20191014
n233,n29850,Directed,260760,,,180,10,20191101
n29850,n29850,Directed,260769,,,459,57,20191111
n17780,n29851,Directed,260777,,,374,19,20191101
n36542,n29851,Directed,260786,,,140,14,20191101
n29852,n29852,Directed,260794,,,581,83,20191024
n32067,n29852,Directed,260801,,,270,23,20190930
n29853,n29853,Directed,260810,,,987,141,20191102
n2761,n29854,Directed,260817,,,104,8,20191111
n13776,n29854,Directed,260825,,,174,6,20190930
n12774,n29855,Directed,260834,,,16,8,20191030
n13033,n29856,Directed,260836,,,70,10,20191012
n5176,n29858,Directed,260843,,,20,6,20191102
n11933,n29857,Directed,260846,,,20,10,20191008
n16521,n29859,Directed,260848,,,180,12,20190930
n29860,n29860,Directed,260856,,,82,8,20191020
n1700,n29862,Directed,260864,,,77,7,20191102
n18724,n29862,Directed,260872,,,174,6,20191101
n20409,n29863,Directed,260881,,,176,8,20190930
n29864,n29864,Directed,260889,,,146,73,20191008
n29865,n29865,Directed,260891,,,931,133,20191111
n2040,n29868,Directed,260898,,,42,7,20191111
n21770,n29866,Directed,260902,,,133,14,20191002
n29867,n29867,Directed,260910,,,36,36,20191102
n29869,n29869,Directed,260911,,,876,146,20191020
n7076,n29870,Directed,260917,,,14,6,20191020
n29871,n29871,Directed,260919,,,22,11,20190930
n29872,n29872,Directed,260921,,,19,19,20191025
n956,n29873,Directed,260922,,,67,6,20191111
n16523,n29874,Directed,260929,,,42,8,20191020
n29875,n29875,Directed,260933,,,25,25,20191024
n1943,n29876,Directed,260934,,,11,11,20191009
n29877,n29877,Directed,260935,,,936,133,20191111
n39863,n29878,Directed,260942,,,8,8,20191012
n15740,n29879,Directed,260943,,,64,8,20191024
n8873,n29880,Directed,260951,,,20,8,20191008
n3087,n29881,Directed,260953,,,33,6,20191008
n3596,n29882,Directed,260957,,,1421,55,20191001
n26346,n29883,Directed,260966,,,949,88,20190930
n29883,n29883,Directed,260970,,,486,160,20191008
n29885,n29885,Directed,260973,,,17,17,20190930
n17377,n29886,Directed,260974,,,12,6,20190930
n20402,n29886,Directed,260976,,,48,6,20191008
n3614,n29887,Directed,260983,,,90,30,20191024
n14603,n29887,Directed,260986,,,6,6,20191012
n32312,n29888,Directed,260987,,,30,10,20191008
n39148,n29889,Directed,260990,,,6,6,20191111
n29890,n29890,Directed,260991,,,364,91,20191111
n10515,n29891,Directed,260995,,,28,8,20191111
n12840,n29892,Directed,260998,,,86,6,20190930
n26702,n29892,Directed,261005,,,768,24,20191013
n32965,n29892,Directed,261018,,,525,64,20190930
n29893,n29893,Directed,261026,,,80,40,20191030
n1943,n29894,Directed,261028,,,6,6,20191111
n9791,n29894,Directed,261029,,,7,7,20191024
n29895,n29895,Directed,261030,,,38,7,20191020
n37549,n29895,Directed,261035,,,1514,202,20191024
n29896,n29896,Directed,261042,,,24,24,20191102
n8162,n29897,Directed,261043,,,10,10,20191111
n29899,n29899,Directed,261044,,,8,8,20191012
n16269,n29900,Directed,261045,,,120,24,20191025
n6649,n29902,Directed,261050,,,24,24,20191111
n15432,n29904,Directed,261051,,,40,8,20191031
n18494,n29905,Directed,261056,,,6,6,20191012
n40053,n29906,Directed,261057,,,6,6,20191024
n16269,n29907,Directed,261058,,,6,6,20191102
n21833,n29908,Directed,261059,,,18,9,20191024
n34706,n29909,Directed,261061,,,491,59,20191102
n2811,n29910,Directed,261069,,,1844,17,20191031
n29910,n29910,Directed,261082,,,86746,189,20191101
n10515,n29911,Directed,261098,,,6,6,20191030
n29912,n29912,Directed,261099,,,357,51,20191030
n21833,n29913,Directed,261106,,,600,12,20191001
n3357,n29914,Directed,261114,,,600,38,20191001
n21812,n29916,Directed,261122,,,26,26,20191008
n29917,n29917,Directed,261123,,,1274,182,20191102
n28019,n29918,Directed,261130,,,30,8,20191008
n29918,n29918,Directed,261133,,,128,42,20190930
n36963,n29919,Directed,261136,,,18,9,20191024
n33602,n29920,Directed,261138,,,28,12,20191020
n38003,n29920,Directed,261140,,,12,12,20191008
n27226,n29921,Directed,261141,,,381,25,20191102
n10976,n29923,Directed,261149,,,71,8,20191101
n28287,n29923,Directed,261157,,,512,64,20191008
n29922,n29922,Directed,261165,,,84,12,20191020
n3357,n29924,Directed,261172,,,428,10,20190930
n29924,n29924,Directed,261180,,,112,8,20191101
n3154,n29925,Directed,261189,,,72,6,20191012
n6505,n29926,Directed,261198,,,35,35,20191020
n23888,n29926,Directed,261199,,,6,6,20191020
n9013,n29927,Directed,261200,,,15,15,20191024
n29928,n29928,Directed,261201,,,80,10,20191020
n16269,n29930,Directed,261209,,,17,7,20191102
n5176,n29931,Directed,261211,,,48,6,20191102
n3357,n29932,Directed,261218,,,222,6,20191001
n29933,n29933,Directed,261226,,,242,46,20191008
n29935,n29935,Directed,261231,,,1028,144,20191008
n11651,n29936,Directed,261238,,,54,6,20191102
n3046,n29937,Directed,261245,,,9,9,20191024
n28287,n29938,Directed,261246,,,56,7,20191030
n38910,n29939,Directed,261254,,,31,6,20191012
n3046,n29940,Directed,261258,,,7,7,20191008
n3357,n29941,Directed,261259,,,84,12,20191012
n29941,n29941,Directed,261266,,,9,9,20191001
n17780,n29942,Directed,261267,,,15,15,20190930
n10781,n29943,Directed,261268,,,74,24,20191111
n35948,n29943,Directed,261270,,,4197,8,20191031
n6208,n29944,Directed,261287,,,10,10,20191024
n14862,n29945,Directed,261288,,,9,9,20191030
n16269,n29946,Directed,261289,,,131,25,20191030
n25443,n29947,Directed,261294,,,51,22,20191025
n29947,n29947,Directed,261296,,,2764,114,20191101
n32282,n29947,Directed,261302,,,7,7,20191025
n29948,n29948,Directed,261303,,,11,11,20191111
n11702,n29949,Directed,261304,,,36,6,20191030
n4575,n29950,Directed,261310,,,214,20,20191111
n29360,n29950,Directed,261317,,,733,14,20191101
n16269,n29951,Directed,261326,,,121,40,20191025
n13530,n29965,Directed,261329,,,12,6,20191102
n15017,n29965,Directed,261331,,,12,6,20191102
n29965,n29965,Directed,261333,,,2492,97,20191112
n30763,n29965,Directed,261344,,,7,7,20191020
n36453,n29965,Directed,261345,,,61,61,20191111
n10515,n29953,Directed,261346,,,6,6,20191030
n29954,n29954,Directed,261347,,,2976,134,20191102
n32187,n29954,Directed,261356,,,42,6,20191012
n9538,n29955,Directed,261363,,,6,6,20191111
n26498,n29955,Directed,261364,,,270,10,20191024
