county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Morris,Florham Park,"11,696",4.35,6.37,5.08,4.74,16.82
Morris,Long Hill,"8,702",0.62,5.98,7.06,5.21,14.71
Morris,Chester,"1,649",1.03,2.3,13.46,5.03,17.65
Morris,Dover,"18,157",6.1,2.54,69.38,6.68,10.54
Morris,Boonton,"8,347",4.82,10.05,11.02,6.6,13.15
Morris,Butler,"7,539",1.11,3.02,11.41,5.88,13.2
Morris,Mount Arlington,"5,050",2.32,3.58,8.22,4.69,20.42
Morris,Mountain Lakes,"4,160",0.36,7.64,2.55,4.81,10.07
Atlantic,Estell Manor,"1,735",0.92,1.61,1.04,4.27,11.07
Atlantic,Galloway,"37,349",11.44,10.02,10.05,4.94,13.72
Hunterdon,Flemington,"4,581",3.93,5.81,26.15,7.86,10.3
Atlantic,Egg Harbor Twp,"43,323",9.58,11.76,13,6.31,10.78
Hunterdon,Clinton Twp,"13,478",6.01,3.9,5.6,4.33,10.66
Hunterdon,East Amwell,"4,013",1.25,1.42,2.82,3.09,14.15
Hunterdon,Califon,"1,076",0.28,0.84,1.3,6.32,9.57
Atlantic,Margate,"6,354",0.71,0.98,2.75,3.01,31.71
Atlantic,Hammonton,"14,791",3,1.37,20.93,6.29,16
Atlantic,Linwood,"7,092",0.97,3.79,2.96,4.55,18.12
Union,Scotch Plains,"23,510",11.08,7.65,6.73,6.53,14.18
Union,Summit,"21,457",4.52,6.38,13.29,6.81,11.85
Warren,Belvidere,"2,681",1.57,0.78,3.62,5.41,12.38
Union,Kenilworth,"7,914",2.91,3.84,15.52,5.07,15.58
Warren,Franklin Twp,"3,176",1.48,2.33,3.84,4.72,12.15
Morris,Roxbury,"23,324",2.34,5.77,8.93,5.36,12.6
Union,New Providence,"12,171",1.27,9.78,6.43,7.19,13.91
Union,Hillside,"21,404",53.19,2.73,17.63,6.32,11.82
Union,Linden,"40,499",26.88,2.71,24.93,5.53,13.43
Union,Roselle,"21,085",55.06,2.23,26.77,6.56,11.98
Union,Mountainside,"6,685",1.97,4.94,6.09,5.45,23.71
Union,Rahway,"27,346",30.93,4.3,23.52,5.89,13.5
Union,Plainfield,"49,808",50.2,0.95,40.37,8.33,9.47
Union,Springfield,"15,817",6.25,7.7,9.5,6.01,17.51
Union,Roselle Park,"13,297",5.89,10.18,28.65,5.96,11.17
Union,Westfield,"30,316",3.25,5.67,4.92,6.64,13.08
Union,Union Twp,"56,642",28.98,10.6,14.94,5.44,14.04
Warren,Hackettstown,"9,724",2.46,4.97,15.16,5.72,14.11
Warren,Allamuchy,"4,323",1.78,2.73,4.49,4.53,17.53
Atlantic,Weymouth,"2,715",4.75,0.88,4.57,3.79,27.15
Bergen,Alpine,"1,849",2.38,26.07,4.81,4,19.09
Bergen,Bergenfield,"26,764",7.7,25.6,26.52,6.54,13.03
Bergen,Carlstadt,"6,127",2.38,8.23,18.02,5.35,15.34
Atlantic,Mullica,"6,147",5.68,0.68,17.02,5.45,13.31
Atlantic,Pleasantville,"20,249",45.94,2.42,41.06,8.35,10.66
Atlantic,Port Republic,"1,115",0.63,0.9,2.96,5.29,12.65
Atlantic,Ventnor,"10,650",4.25,8.68,18.05,4.89,19.91
Morris,Pequannock,"15,540",0.48,1.94,4.52,4.35,24.87
Bergen,Closter,"8,373",1.31,31.65,5.98,3.95,13.5
Bergen,Cresskill,"8,573",0.73,27.64,6.26,4.34,17.36
Warren,Mansfield,"7,725",4.89,3.21,10.94,6.03,12.75
