county,municipal,ld,cd,registered,registered_perc,democrats_perc,republicans_perc,turnout
Camden,Hi-Nella,6,1,667,77.74,43.81,13.68,21.29
Camden,Haddon Twp,6,1,"12,260",84.31,45.54,18.82,28.07
Camden,Haddon Heights,5,1,"6,224",82.67,41.38,22.35,43.94
Somerset,Bernardsville,25,7,"6,279",82.68,24.1,42.84,38.14
Somerset,Bernards Twp,21,7,"21,628",79.99,25.91,35.89,34.81
Salem,Woodstown,3,2,"2,464",71.71,32.66,19.6,44.32
Salem,Salem,3,2,"2,666",56.65,38.21,10,26.26
Salem,Quinton,3,2,"1,640",66.99,35.42,23.96,37.01
Salem,Pilesgrove,3,2,"2,987",75.03,29.44,28.89,36.52
Passaic,Hawthorne,38,9,"13,587",72.45,31.32,31.24,25.14
Passaic,Little Falls,40,11,"8,978",62.03,33.18,23.56,22.02
Passaic,Passaic,36,9,"29,687",42.59,45.71,11.13,12.81
Somerset,Bedminster,23,7,"7,252",91.01,25.57,35.49,30.85
Somerset,South Bound Brook,23,12,"2,921",64.65,36,19.71,30.71
Warren,Washington Twp,23,5,"5,166",81.32,19.26,39.09,22.67
Sussex,Stillwater,24,5,"3,207",82.87,20.61,47.46,34.61
Burlington,Washington Twp,9,2,536,75.39,20.52,45.34,32.84
Burlington,Tabernacle,9,3,"5,447",80.17,19.99,40.83,31.54
Burlington,Wrightstown,12,3,358,46.13,34.64,26.82,17.88
Burlington,Willingboro,7,3,"23,644",73.88,66.3,5.55,28.3
Camden,Barrington,5,1,"5,123",77.13,41.04,18.92,27.27
Camden,Audubon,5,1,"6,821",78.97,42.17,18.58,27
Passaic,Woodland Park,40,11,"9,317",74.06,37.38,21.07,27.94
Passaic,West Milford,26,5,"18,983",72.09,22.19,37.26,27.36
Salem,Carneys Point,3,2,"5,147",67.07,34.29,17.38,34.84
Passaic,Prospect Park,35,9,"3,910",66.92,60.15,9.03,21.41
Passaic,Paterson,35,9,"82,253",56.64,52.72,6.02,14.46
Passaic,Wanaque,39,11,"8,258",70.21,27.79,31.23,30.62
Passaic,Totowa,40,11,"7,832",72.57,22.79,41.91,32.66
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
