county,municipal,muni_budget_pc,muni_budget
Morris,Montville,"1,891","39,827,250"
Morris,Mount Olive,"1,333","38,558,342"
Morris,Morristown,"2,904","55,925,562"
Salem,Oldmans,"1,337","2,390,775"
Salem,Pennsville,"1,502","18,647,444"
Salem,Elsinboro,853,"826,073"
Salem,Lower Alloways Creek,"5,562","9,298,926"
Camden,Berlin Twp,"1,987","11,307,246"
Camden,Camden,"2,839","208,826,361"
Camden,Bellmawr,"1,284","14,587,826"
Camden,Gloucester City,"1,902","21,337,471"
Camden,Collingswood,"1,288","17,877,197"
Camden,Clementon,"1,187","5,884,364"
Camden,Cherry Hill,"1,011","72,010,503"
Camden,Hi-Nella,"1,115","956,298"
Camden,Haddon Twp,968,"14,076,295"
Camden,Haddon Heights,"1,158","8,715,132"
Somerset,Bernardsville,"2,091","15,878,211"
Somerset,Bernards Twp,"1,535","41,514,123"
Salem,Woodstown,"1,088","3,736,738"
Salem,Salem,"2,001","9,416,231"
Salem,Quinton,660,"1,614,909"
Salem,Pilesgrove,766,"3,049,499"
Passaic,Hawthorne,"1,216","22,797,233"
Passaic,Little Falls,"1,325","19,171,073"
Passaic,Passaic,"1,330","92,722,041"
Somerset,Bedminster,"1,472","11,728,709"
Somerset,South Bound Brook,"1,463","6,611,107"
Warren,Washington Twp,"1,701","10,809,519"
Sussex,Stillwater,986,"3,817,593"
Burlington,Washington Twp,"1,311","931,820"
Burlington,Tabernacle,779,"5,295,054"
Burlington,Wrightstown,"1,368","1,061,677"
Burlington,Willingboro,"1,451","46,425,000"
Camden,Barrington,"1,335","8,867,536"
Camden,Audubon,"1,198","10,347,000"
Passaic,Woodland Park,"1,452","18,263,767"
Passaic,West Milford,"1,327","34,937,433"
Salem,Carneys Point,"1,317","10,103,677"
Passaic,Prospect Park,"1,169","6,829,733"
Passaic,Paterson,"1,979","287,407,958"
Passaic,Wanaque,"1,247","14,667,062"
Passaic,Totowa,"1,860","20,071,353"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
